feature,value,0,1,2,3,4
attn_0_0_outputs,0,5.0715423,0.023365645,-1.7164817,-1.0796418,-1.224325
attn_0_0_outputs,1,-1.703582,1.7739843,-0.532526,0.5222589,-0.41926104
attn_0_0_outputs,2,-1.3671092,-1.2580525,3.5612633,-1.0358081,-1.0973042
attn_0_0_outputs,3,-2.5297637,-1.4332885,-0.7204616,3.4084935,0.103855096
attn_0_0_outputs,4,-3.8384335,-2.3334591,-2.2683496,0.3564324,3.9481778
attn_0_0_outputs,</s>,-0.55586696,-0.70651656,-0.28459287,0.23692364,0.72488976
attn_0_0_outputs,<pad>,-0.23001723,-0.15992305,-0.7759419,0.8884737,-0.25028232
attn_0_0_outputs,<s>,-2.3464444,-0.002316622,-0.7975926,1.6916838,1.2595737
attn_0_0_outputs,_,0.3586983,0.61221933,-0.05542366,-0.343287,-0.68336654
attn_0_0_outputs,_,1.2161494,-0.085423894,0.4402062,-0.22353785,-1.4888815
attn_0_0_outputs,_,1.2239524,0.7258119,-0.21312018,0.46129766,-1.496434
attn_0_0_outputs,_,-0.03227674,0.45475814,-0.24340177,0.5948651,-0.60767347
attn_0_0_outputs,_,0.543161,-0.7878538,0.30897844,0.037718553,-0.6401615
attn_0_0_outputs,_,0.5283436,-0.37014043,0.62629914,-0.7564511,-1.1617035
attn_0_0_outputs,_,-0.35026997,1.0002769,1.1616496,0.45030347,-0.56182075
attn_0_0_outputs,_,0.021882964,-0.32102475,-0.37408942,0.41616815,-0.2205124
attn_0_1_outputs,0,1.6633052,-0.679169,-0.35071614,0.1696562,0.3969062
attn_0_1_outputs,1,-0.54674643,1.6956228,0.18755537,-0.41558138,-2.056871
attn_0_1_outputs,2,-0.39557484,-0.68618864,1.3918021,0.33849183,-1.1351607
attn_0_1_outputs,3,-1.6911414,-1.1665403,0.5781123,2.787385,-0.9207105
attn_0_1_outputs,4,-4.6959386,-4.2225957,-2.3227434,0.1662266,4.911645
attn_0_1_outputs,</s>,-3.6662295,-0.7822891,1.4797884,1.8872867,3.412159
attn_0_1_outputs,<pad>,-0.5867296,-0.49208337,0.42375648,-0.2546977,1.0210414
attn_0_1_outputs,<s>,-4.9349003,-4.0356927,-0.024409406,0.9602821,5.3270006
attn_0_1_outputs,_,0.8218097,0.059055243,0.10791351,-0.89193326,-0.7112449
attn_0_1_outputs,_,0.75076026,-0.4536476,0.016998852,-0.8855782,0.007156851
attn_0_1_outputs,_,1.173801,0.2769738,0.6775648,-1.0894375,-0.23750234
attn_0_1_outputs,_,0.6964849,-0.4220142,-0.547527,-1.6063868,0.103722356
attn_0_1_outputs,_,0.39045617,0.52636176,-0.003631184,-1.6187449,0.24185985
attn_0_1_outputs,_,0.5354463,-0.11675441,0.3425228,-1.0815936,-0.2617752
attn_0_1_outputs,_,0.23789543,-0.06893715,1.0841331,0.5181695,-0.53549147
attn_0_1_outputs,_,-0.08019486,-0.34707817,-0.698131,0.24518783,-0.687685
attn_0_2_outputs,0,-2.8778098,0.82722217,1.1021214,2.3830256,-3.3645623
attn_0_2_outputs,1,0.5101048,2.3951423,-2.2267857,0.68246084,-0.5057413
attn_0_2_outputs,2,-1.135766,1.7968513,0.6944015,2.5773556,-3.3025522
attn_0_2_outputs,3,-1.5190353,-1.3005593,-2.0853627,3.9772053,0.30868945
attn_0_2_outputs,4,-4.0133395,-3.1268985,-0.41933465,-0.6333398,4.9938984
attn_0_2_outputs,</s>,-0.62844145,-0.234522,0.39441887,1.1159221,0.7372518
attn_0_2_outputs,<pad>,0.31050572,-0.09896514,0.15599401,0.2776142,-0.030109724
attn_0_2_outputs,<s>,0.3805638,0.34703767,2.638744,3.1457248,-8.589091
attn_0_2_outputs,_,-0.17900087,0.6305072,-0.83339304,-0.841649,-0.4198597
attn_0_2_outputs,_,-0.107751556,-0.18024588,-0.5344555,-0.6479036,-0.36159214
attn_0_2_outputs,_,0.53822535,0.6566292,0.81606954,-0.43078622,0.2928678
attn_0_2_outputs,_,0.34517053,0.5980908,0.35312802,-0.28213394,-0.7062585
attn_0_2_outputs,_,0.4201027,0.6190457,0.2529209,0.13707206,-0.7242872
attn_0_2_outputs,_,0.055528138,0.23276547,0.27975416,-0.112712964,-1.0250171
attn_0_2_outputs,_,0.6142566,0.4119791,0.5836138,0.7534751,-0.8665691
attn_0_2_outputs,_,-0.13216099,0.19954714,-0.45950103,0.5951643,-1.1448965
attn_0_3_outputs,0,0.89466965,-0.73644054,-0.5957644,0.6156229,-0.42253375
attn_0_3_outputs,1,-0.32066357,1.5417787,0.7214369,0.49894714,-1.652485
attn_0_3_outputs,2,-0.82992226,-0.65825903,1.2049745,0.6206326,-1.1259918
attn_0_3_outputs,3,-1.437322,-0.93505085,0.5307318,2.691476,-0.83685356
attn_0_3_outputs,4,-3.4763684,-2.6195524,-1.2898949,0.92315847,3.3833835
attn_0_3_outputs,</s>,-2.7157204,-1.6938341,-1.2165486,1.1173064,2.6965601
attn_0_3_outputs,<pad>,-0.5493596,0.07709109,0.24217278,-0.9559152,1.0559171
attn_0_3_outputs,<s>,-4.159903,-1.1911247,-3.1002278,0.19765818,4.846481
attn_0_3_outputs,_,0.3214683,0.2968641,-0.16109358,-0.6007629,0.5694506
attn_0_3_outputs,_,-0.05420731,0.5108193,0.3712487,-0.057899076,0.29260018
attn_0_3_outputs,_,1.3284298,0.03920625,-0.30739996,-0.0590203,-0.73586774
attn_0_3_outputs,_,0.5229325,0.36725155,0.056741986,-0.29087177,-0.9241625
attn_0_3_outputs,_,-0.16257063,0.12012323,-0.32701162,-0.19934274,-1.0555664
attn_0_3_outputs,_,0.85325134,0.6205121,-0.36001843,-0.12054016,-0.3402028
attn_0_3_outputs,_,-0.1082524,0.89239615,0.834783,0.7696831,-1.0347153
attn_0_3_outputs,_,0.38862643,0.014752338,-0.43758714,1.371851,-0.090139225
attn_0_4_outputs,0,3.757027,-2.8954482,-0.49474913,2.336347,-3.675865
attn_0_4_outputs,1,-5.3026395,-0.5949886,-0.19873594,1.1701821,1.43402
attn_0_4_outputs,2,-0.5707238,-0.010510756,0.78422415,0.77460694,0.730132
attn_0_4_outputs,3,-2.256165,-0.21260928,0.60762167,0.9483951,1.8549491
attn_0_4_outputs,4,-3.61679,-2.4606555,-0.4224148,0.91037303,2.0276084
attn_0_4_outputs,</s>,-0.93980396,-0.35724908,0.23691422,0.81087923,1.055118
attn_0_4_outputs,<pad>,0.21256533,0.028542172,0.34745756,0.46380544,0.67408645
attn_0_4_outputs,<s>,-2.1758866,0.40938303,0.55187154,0.20521796,1.2138401
attn_0_4_outputs,_,-0.50182223,0.33913264,0.33645263,0.27701783,-0.47223538
attn_0_4_outputs,_,0.044074938,0.92724717,0.07819468,-1.3433787,-0.64486545
attn_0_4_outputs,_,0.26239848,1.065773,0.086080715,-0.6153554,-0.51668626
attn_0_4_outputs,_,-0.28734425,0.55026263,-0.91378087,-0.22148725,-1.1692582
attn_0_4_outputs,_,0.112631865,1.5306758,0.31592718,-0.55919725,-0.32360718
attn_0_4_outputs,_,0.29647547,0.6508158,-0.52730477,0.27134904,-1.9400637
attn_0_4_outputs,_,0.65112406,0.8725859,0.18280739,0.33314988,-1.8885856
attn_0_4_outputs,_,0.36136836,0.35066164,-0.18938181,1.2297349,-0.39385468
attn_0_5_outputs,0,0.6976475,-0.19912529,-0.30921647,0.63671446,-0.96887803
attn_0_5_outputs,1,-0.31948665,1.8612664,0.2390457,0.5625361,-2.054672
attn_0_5_outputs,2,-0.22560507,-0.37781772,1.9011153,1.225688,-1.6038641
attn_0_5_outputs,3,-2.932206,-1.6700869,0.3143983,2.8896332,-0.988908
attn_0_5_outputs,4,-4.1432023,-3.019325,-1.2554135,1.451095,2.8919573
attn_0_5_outputs,</s>,-0.21703738,-2.028208,-0.6460636,0.7386108,3.4478388
attn_0_5_outputs,<pad>,-0.2335775,-0.37382,0.35763213,1.224899,0.5577383
attn_0_5_outputs,<s>,-3.1219835,-1.6253024,-1.7669512,-0.15907952,3.4695182
attn_0_5_outputs,_,0.83214253,0.3817177,-0.057904046,0.15454824,0.3613822
attn_0_5_outputs,_,0.15544884,0.4185318,-0.50260437,-0.5365265,-0.67429125
attn_0_5_outputs,_,0.28001153,0.48561028,0.55428517,0.063814536,-0.20286754
attn_0_5_outputs,_,0.86658704,0.4719638,-0.028505076,-0.60784125,-0.7193603
attn_0_5_outputs,_,0.5617781,0.61546695,0.3807271,-0.32686666,-1.2200948
attn_0_5_outputs,_,0.07000634,0.5669902,0.090291716,0.091171406,-1.0590633
attn_0_5_outputs,_,-0.47992113,0.11866813,0.26614007,0.43200862,-0.3296658
attn_0_5_outputs,_,0.08843482,0.09498765,0.4836814,0.23674734,-0.14369237
attn_0_6_outputs,0,0.77459735,-1.1128285,-0.51989067,-0.21374318,-1.1491556
attn_0_6_outputs,1,-0.6609872,2.2241347,0.82405525,0.015969435,-2.6903408
attn_0_6_outputs,2,-1.5195817,-0.73782325,1.8347238,0.5387724,-2.22571
attn_0_6_outputs,3,-1.2884536,-0.63387465,0.9170394,3.1007915,-1.6358075
attn_0_6_outputs,4,-4.3690085,-3.4525256,-1.75771,0.4843583,4.073564
attn_0_6_outputs,</s>,-4.3297925,-5.8819065,-4.847584,-0.3810097,12.196725
attn_0_6_outputs,<pad>,-0.45325312,-0.29288244,0.7521909,0.7168091,-0.15058236
attn_0_6_outputs,<s>,-0.8372246,-1.2316992,0.63680243,1.6784763,-0.16587602
attn_0_6_outputs,_,0.81674683,-0.8361877,1.8834931,1.5884392,-1.5237557
attn_0_6_outputs,_,0.78420526,-0.57460845,0.8857943,0.98225754,-1.7916839
attn_0_6_outputs,_,0.4786329,-0.46366408,1.4020402,1.3794266,-1.8244445
attn_0_6_outputs,_,0.32582167,-0.8239997,0.50032175,1.1425061,-1.7371249
attn_0_6_outputs,_,0.3365227,-0.074303664,0.6016586,0.8381483,-2.324634
attn_0_6_outputs,_,0.32386386,1.2860252,1.077018,0.9466874,-2.448577
attn_0_6_outputs,_,0.751336,0.28095725,0.3348061,0.6565959,-1.2112057
attn_0_6_outputs,_,-0.5876274,0.0704516,0.8404703,0.5634425,-0.8052122
attn_0_7_outputs,0,5.5254498,-0.014834619,0.33062467,1.1543864,-7.248076
attn_0_7_outputs,1,-0.14979003,1.5360819,-0.7780347,0.04990264,-0.5848865
attn_0_7_outputs,2,-2.5742624,-1.8965434,-1.2893491,1.4660329,1.6570024
attn_0_7_outputs,3,-3.926822,-1.6373526,0.12014182,0.5960186,2.2002394
attn_0_7_outputs,4,-4.3731112,-2.01809,-0.3020715,0.3081299,1.9517368
attn_0_7_outputs,</s>,-0.8797025,-0.8040106,-0.3908173,0.13776334,0.9977354
attn_0_7_outputs,<pad>,-0.48011988,-0.91417253,0.8248456,-0.07153767,0.52826595
attn_0_7_outputs,<s>,-2.545182,-0.629524,0.6643982,0.9415068,1.7614397
attn_0_7_outputs,_,1.1348333,-0.009364709,-0.59983456,1.2899712,-0.06993245
attn_0_7_outputs,_,0.68087846,-0.50802165,-0.35675988,0.9853253,-0.20596646
attn_0_7_outputs,_,0.68873197,0.43530595,-0.39081424,0.9705599,-0.732151
attn_0_7_outputs,_,0.28663015,0.4261229,0.25055832,0.7802098,-1.4073621
attn_0_7_outputs,_,0.0072401925,-0.7004938,-0.031079656,0.7801902,-1.5937016
attn_0_7_outputs,_,-0.0141595835,0.16674347,-0.93253124,-0.11548042,-1.7268693
attn_0_7_outputs,_,0.22744845,0.71611524,0.3455232,1.167564,-0.8644239
attn_0_7_outputs,_,-0.37563276,0.6840503,0.23914154,1.7995125,-1.3053075
attn_1_0_outputs,0,0.81055653,-0.38460997,-0.3497587,0.27997974,-0.40708405
