feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,-0.032122243,0.08690678,-0.006694821,0.52725995,-0.31406632,2.283984
attn_0_0_outputs,1,-0.28860357,-0.0327956,-0.5783461,0.60784626,1.8627912,0.8394438
attn_0_0_outputs,2,-0.04909624,0.021102747,-0.045272328,0.7704852,1.863842,1.27561
attn_0_0_outputs,3,-0.014357385,-0.3232778,-0.30076262,0.10550787,-0.045734037,0.3731647
attn_0_0_outputs,4,0.3175686,-0.3508842,-0.63409436,-0.13471635,-1.7120225,-1.9208404
attn_0_0_outputs,5,-0.93789184,-0.5420233,-1.1463252,0.2326431,1.3752968,2.1300156
attn_0_0_outputs,6,-0.17997171,-0.07952518,-0.27096206,0.28377596,0.56979936,2.6990917
attn_0_0_outputs,7,-0.12670544,-0.21560687,-0.18096033,0.13508056,0.7092307,-2.6621737
attn_0_1_outputs,0,-0.12361512,-0.19200072,-0.1605432,0.5565347,-0.5780482,0.71288085
attn_0_1_outputs,1,-0.013141774,-0.004892717,-0.016584475,0.69070566,0.82058746,1.8045069
attn_0_1_outputs,2,-0.31600627,0.033948578,-0.0708415,0.72647935,0.90157175,0.919522
attn_0_1_outputs,3,-0.25782272,0.014419064,-0.13332069,0.7008004,1.1277828,2.5996869
attn_0_1_outputs,4,-0.5170058,-0.49541897,0.077607974,0.18696149,0.6619378,1.0770595
attn_0_1_outputs,5,-0.59404445,-0.30275917,-0.3578004,-0.10264453,0.062486142,0.3271928
attn_0_1_outputs,6,0.2511928,-0.89161855,-0.19470547,0.62386733,1.0322254,0.63678825
attn_0_1_outputs,7,-0.16386038,-0.19865777,-0.08250027,0.73645675,1.6643897,-3.322053
attn_0_2_outputs,0,0.20169203,0.1278645,-0.17291825,0.7611811,-0.41361535,0.7694744
attn_0_2_outputs,1,0.063607484,-0.08198476,-0.2109466,0.39086303,0.51139355,0.98657185
attn_0_2_outputs,2,0.6970285,0.3984509,0.29579216,0.8785102,1.3851938,1.6490251
attn_0_2_outputs,3,-0.22151813,-0.4571163,-0.39876682,0.23827618,0.59841454,0.82358736
attn_0_2_outputs,4,-0.002759522,-0.30776632,-0.31629092,-0.02314766,0.15579672,1.2124425
attn_0_2_outputs,5,0.06867102,-0.2534454,-0.10216448,0.16181986,0.81778246,1.4114021
attn_0_2_outputs,6,-0.088398844,-0.22798498,-0.08965129,0.38931537,0.3918544,1.2330681
attn_0_2_outputs,7,-0.09216373,-0.68063396,-0.236268,-0.028492587,0.44452798,-3.5594358
attn_0_3_outputs,0,-0.15751807,-0.4072717,0.10919132,0.15655702,-2.3175657,0.6873546
attn_0_3_outputs,1,0.2775408,0.0033145288,0.25929755,0.51710135,0.8319088,1.1362683
attn_0_3_outputs,2,-0.5182266,-0.0994978,-0.1301872,0.3289711,0.34030822,1.801299
attn_0_3_outputs,3,-0.016467143,-0.20011806,0.16825095,0.32374772,0.6915057,1.9479563
attn_0_3_outputs,4,0.16902876,-0.0057816384,0.49374476,0.429028,1.2116518,1.8056256
attn_0_3_outputs,5,-0.31417257,-0.5528243,-0.31569058,-0.15093185,0.6368427,1.1660366
attn_0_3_outputs,6,-0.2814203,-0.53077227,-0.061836716,0.26813045,1.3818239,1.3838763
attn_0_3_outputs,7,0.0414079,-0.1660116,0.27578628,0.49326158,1.0227175,-1.7508794
attn_1_0_outputs,0,-0.043794535,0.23658733,-0.030139148,0.85235995,0.6958183,1.1930006
attn_1_0_outputs,1,-0.40656614,-0.025673758,-0.3772454,0.49578488,0.48281348,1.352901
attn_1_0_outputs,2,-0.42923424,0.23409152,-0.1520266,0.6344501,0.39002764,1.3821148
attn_1_0_outputs,3,-0.7202286,0.24509355,-0.74652857,0.13534458,0.18303367,1.0170813
attn_1_0_outputs,4,-0.4945176,-0.15269561,-0.44561678,0.24949373,0.539477,1.7332692
attn_1_0_outputs,5,-0.20432891,0.1936947,-0.14406426,0.56273097,0.6358787,1.4618965
attn_1_0_outputs,6,-0.53774756,-0.09917229,-0.34845406,0.3772835,0.7119443,1.2271757
attn_1_0_outputs,7,-0.56922066,0.13549225,-0.21982452,0.5256694,0.02672929,-0.93047506
attn_1_1_outputs,0,-0.017721724,0.02255945,0.02907218,0.51198757,0.7711991,1.8663034
attn_1_1_outputs,1,0.08167582,0.06535626,0.06601007,0.7653535,0.7733921,2.3345397
attn_1_1_outputs,2,0.6789071,-0.8678379,0.4215891,0.6987728,0.8419373,0.70362234
attn_1_1_outputs,3,-0.19582596,0.37207726,0.13114978,0.08732049,0.68633705,1.6592903
attn_1_1_outputs,4,0.8523568,-1.1804565,-0.2542097,0.7210216,0.13350303,0.81490535
attn_1_1_outputs,5,-0.2464112,-0.24276014,-0.25344867,0.3404019,0.62324846,0.96526915
attn_1_1_outputs,6,-0.047467154,-0.08389648,-0.14520495,0.4961844,0.79268396,1.9119731
attn_1_1_outputs,7,0.014578834,-0.8429781,0.20389506,0.08467583,0.27067196,-6.9712043
attn_1_2_outputs,0,-0.047356647,0.54529774,-0.069237046,0.40792006,1.6678241,3.987312
attn_1_2_outputs,1,-0.5450577,-0.54526323,-0.9297945,-0.032910693,2.8267431,5.355271
attn_1_2_outputs,2,-0.39723387,-0.34009674,-0.8132393,-0.048950415,0.78353095,3.2607515
attn_1_2_outputs,3,0.39442626,0.48595595,-0.061459877,0.24469396,0.3744417,-1.8164747
attn_1_2_outputs,4,-0.15502435,-0.1829015,-0.14444438,0.1647764,1.9622377,-0.5999691
attn_1_2_outputs,5,0.075377874,0.4040294,0.11887939,0.44858563,-0.22914533,4.274525
attn_1_2_outputs,6,0.53730106,0.45427406,-0.06995652,-0.11630443,-1.0778202,-2.531438
attn_1_2_outputs,7,0.15466078,0.24145347,-0.11797315,-0.5822675,-1.8903106,-7.748079
attn_1_3_outputs,0,0.49058893,-0.6833244,1.6497164,-1.1880292,1.4890788,-4.0926266
attn_1_3_outputs,1,-0.30622947,-0.53683054,-0.66098005,0.63677627,0.41943726,1.1905104
attn_1_3_outputs,2,-0.065144055,-0.019589486,-0.008769989,0.8385514,0.8562743,1.5076432
attn_1_3_outputs,3,-0.28507763,-0.30540773,-0.40899023,0.6573216,0.49837813,1.5360008
attn_1_3_outputs,4,-0.2609283,-0.26531568,-0.48735553,0.6708776,0.6013223,1.7419603
attn_1_3_outputs,5,0.061342344,-0.29858518,0.18219577,0.7409861,0.60531586,1.0131329
attn_1_3_outputs,6,-0.4229239,-0.47127426,-0.6036252,0.6115841,0.1989946,0.93220407
attn_1_3_outputs,7,-0.15505171,-0.15566604,-0.09784567,0.9474412,0.8532711,1.624246
attn_2_0_outputs,0,0.024081625,-0.58658475,1.9439343,0.7090191,0.7490648,0.29873493
attn_2_0_outputs,1,-1.0192274,0.12175025,-0.13324857,0.71309143,0.59199667,0.97774094
attn_2_0_outputs,2,-0.3669855,-0.19048606,-0.46628755,0.17614533,0.766461,1.1907641
attn_2_0_outputs,3,-0.25368676,-0.4768309,-0.42893124,0.123319134,0.66452545,1.1946461
attn_2_0_outputs,4,-0.39173803,-0.43453577,-0.36317357,0.21686953,0.75426304,1.0796118
attn_2_0_outputs,5,-0.34981468,-0.4041668,-0.34433347,0.31356764,0.76912206,1.0522192
attn_2_0_outputs,6,-0.23188362,-0.27556396,-0.19016129,0.47690827,0.7745789,1.2739646
attn_2_0_outputs,7,-0.5521095,-0.51437545,-0.46843973,0.43425214,0.8418317,1.0823038
attn_2_1_outputs,0,-0.18614358,2.8292248,-2.6737182,-4.3476357,-7.2832656,-3.2169456
attn_2_1_outputs,1,-0.063400626,-0.387522,-0.030655218,0.3999831,0.30193418,0.6940262
attn_2_1_outputs,2,0.30661634,-0.17221387,0.4327847,1.0495461,0.55890596,0.7071594
attn_2_1_outputs,3,-0.17351863,-0.4585007,-0.13299935,0.5721725,0.85800034,1.1132454
attn_2_1_outputs,4,-0.12277761,-1.0116781,0.07105767,0.71705776,1.585353,1.8364102
attn_2_1_outputs,5,-0.317959,-0.8996417,0.11099031,0.71655303,0.5325227,0.8942611
attn_2_1_outputs,6,-0.106371254,-0.47815064,-0.26462793,0.54886544,0.53791535,1.2728217
attn_2_1_outputs,7,-0.30889523,-0.20742312,-0.30457613,0.50482184,0.7992947,-0.059111126
attn_2_2_outputs,0,-0.03669918,0.29736954,-1.039592,0.67424923,2.2271364,-0.6552519
attn_2_2_outputs,1,0.0735179,0.2574673,-0.0052142306,0.78394485,1.2757783,1.3810921
attn_2_2_outputs,2,0.05881657,0.15260762,0.21793577,0.6495928,1.8781594,0.4345191
attn_2_2_outputs,3,-0.69666576,-0.25993958,-0.67066145,0.0584572,0.5947875,1.2163906
attn_2_2_outputs,4,-0.61726373,-0.38606095,-0.3302336,0.49029526,0.4876355,1.1151888
attn_2_2_outputs,5,-0.7430674,0.19651815,-0.38692138,0.56888354,0.5234228,1.1480926
attn_2_2_outputs,6,-0.36027068,-0.60038763,-0.43291658,0.03248988,0.22140038,1.6367764
attn_2_2_outputs,7,-0.044602778,-0.3523911,-0.31924877,0.70405304,0.5004423,-1.2313465
attn_2_3_outputs,0,1.133702,-0.16610828,2.191214,-2.2082012,0.7295412,-2.9365134
attn_2_3_outputs,1,0.026829243,-0.09827351,-0.043568574,1.2031891,0.79106313,1.546354
attn_2_3_outputs,2,-0.14524168,-0.37385035,0.16116576,0.97939134,1.0268188,1.4523499
attn_2_3_outputs,3,-0.14725854,-0.35739157,-0.30594024,0.7730456,0.53969085,1.2793927
attn_2_3_outputs,4,-0.35907525,-0.4069704,-0.37256142,0.72516114,0.30281883,1.4868462
